Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3G63ydLVxgNI4mNfcCxm81,"Valerie - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project;Kai Antonio Portelano",2022-01-21,188663,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:23Z,"","FUNKY MOOSE RECORDS",0.649,0.782,0,-5.598,0,0.0263,0.019,0.564,0.347,0.333,111.989,4
spotify:track:0VEz7xw8aXSx9PqF5pWnMC,"Space Odyssey - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project",2022-01-21,225576,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:23Z,"","FUNKY MOOSE RECORDS",0.596,0.938,7,-5.263,0,0.0412,0.00343,0.084,0.584,0.804,117.974,4
spotify:track:7FYqBFWRDH8btpCfvDpxy2,"Discostar - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project",2022-01-21,246983,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:23Z,"","FUNKY MOOSE RECORDS",0.686,0.88,9,-6.027,0,0.0426,0.0654,0.00803,0.237,0.571,108.013,4
spotify:track:1tRkRmHmkn9ZelpFPEvM3J,"Freedom - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project;Gidon Oechsner",2022-01-21,254736,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:23Z,"","FUNKY MOOSE RECORDS",0.692,0.674,2,-7.605,1,0.0349,0.0929,0.302,0.0899,0.556,114.021,4
spotify:track:1n5y5mnieQliDOtwXmeubH,"Soulkeeper - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project",2022-01-21,189480,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:23Z,"","FUNKY MOOSE RECORDS",0.595,0.918,7,-6.279,1,0.0508,0.000249,0.0254,0.662,0.755,104.987,4
spotify:track:7Cpfr1jcpEPmnMkF7GaDYe,"Radiospective - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project",2022-01-21,93840,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:25Z,"","FUNKY MOOSE RECORDS",0.791,0.777,9,-4.658,0,0.0644,0.0596,0.684,0.1,0.761,109.991,4
spotify:track:0eDr5KhVO0byYmnmsM7hsR,"Dance - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project",2022-01-21,219840,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:25Z,"","FUNKY MOOSE RECORDS",0.707,0.764,6,-5.131,0,0.0428,0.0604,0.0000125,0.228,0.773,99.992,4
spotify:track:5PHqFHeXR8jqgybSdSCVjm,"Burning - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project",2022-01-21,223943,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:25Z,"","FUNKY MOOSE RECORDS",0.687,0.898,9,-5.512,0,0.0474,0.00334,0.000102,0.109,0.766,112.005,4
spotify:track:1zh0AjL0i3bxAFS1Uzbron,"Order me - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project;Sven Stichter",2022-01-21,276600,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:25Z,"","FUNKY MOOSE RECORDS",0.628,0.985,7,-4.603,0,0.0621,0.0108,0.0418,0.507,0.52,124.997,4
spotify:track:6aVM567Di49nVtFkMAZKxm,"Right Time - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project",2022-01-21,219120,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:25Z,"","FUNKY MOOSE RECORDS",0.649,0.88,2,-6.048,0,0.073,0.00816,0.00499,0.0626,0.762,120.029,4
spotify:track:0grdWSf7UOcNhuhRyLQ3b6,"Pick and choose - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project;Hubert Tubbs",2022-01-21,188376,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:25Z,"","FUNKY MOOSE RECORDS",0.65,0.986,2,-6.099,1,0.0479,0.00501,0.556,0.0549,0.831,115.964,4
spotify:track:3G63ydLVxgNI4mNfcCxm81,"Valerie - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project;Kai Antonio Portelano",2022-01-21,188663,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:25Z,"","FUNKY MOOSE RECORDS",0.649,0.782,0,-5.598,0,0.0263,0.019,0.564,0.347,0.333,111.989,4
spotify:track:0VEz7xw8aXSx9PqF5pWnMC,"Space Odyssey - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project",2022-01-21,225576,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:25Z,"","FUNKY MOOSE RECORDS",0.596,0.938,7,-5.263,0,0.0412,0.00343,0.084,0.584,0.804,117.974,4
spotify:track:7FYqBFWRDH8btpCfvDpxy2,"Discostar - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project",2022-01-21,246983,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:25Z,"","FUNKY MOOSE RECORDS",0.686,0.88,9,-6.027,0,0.0426,0.0654,0.00803,0.237,0.571,108.013,4
